date,value,stderr,sample_size
2021-02-12,1.0402017,0.1308104,7000.9345
2021-02-13,0.9812386,0.129688,7051.9315
2021-02-14,1.0037641,0.1378175,7118.9353
2021-02-15,1.0923454,0.1479311,7243.9189
2021-02-16,1.1510583,0.1549041,7309.9161
2021-02-17,1.1955845,0.1613294,7398.9141
2021-02-18,1.3456098,0.1744448,7546.9105
2021-02-19,1.3474093,0.1714414,7431.9182
2021-02-20,1.3423245,0.1709644,7325.9196
2021-02-21,1.3431901,0.1653291,7245.9218
2021-02-22,1.3348272,0.1645419,7138.9273
2021-02-23,1.4244466,0.1785335,7121.9322
2021-02-24,1.3754378,0.1692917,7014.9353
2021-02-25,1.384806,0.2132998,6958.9307
2021-02-26,1.3500721,0.2120616,6906.9305
2021-02-27,1.4099617,0.2270258,6875.9319
2021-02-28,1.376889,0.229102,6865.9297
2021-03-01,1.2931348,0.2240289,6865.9272
2021-03-02,1.1493066,0.2082313,6874.9174
2021-03-03,1.1926505,0.2100097,6916.9195
2021-03-04,1.0144297,0.1473722,6894.9239
2021-03-05,1.0649584,0.1595905,6930.9117
2021-03-06,0.9197491,0.1331445,6913.9118
2021-03-07,1.0251705,0.1499443,6894.914
2021-03-08,1.1472057,0.1710502,6842.9217
2021-03-09,1.2325448,0.1766544,6747.9275
2021-03-10,1.1960084,0.1758781,6711.9347
2021-03-11,1.3635596,0.2437683,6596.9303
2021-03-12,1.2776155,0.2355921,6443.9483
2021-03-13,1.165184,0.229993,6292.951
2021-03-14,1.0431862,0.215923,6180.9489
2021-03-15,1.0443884,0.2112262,6098.9462
2021-03-16,1.0704885,0.2217159,6111.9445
2021-03-17,1.128043,0.2253723,6057.9345
2021-03-18,1.0806434,0.1614782,6113.9303
2021-03-19,1.0745773,0.1602298,6198.9265
2021-03-20,1.214249,0.1833554,6360.9264
2021-03-21,1.206069,0.1819081,6452.9208
2021-03-22,1.1391092,0.170589,6443.9254
2021-03-23,0.9954201,0.149257,6366.9342
2021-03-24,0.9329377,0.1424149,6409.9437
2021-03-25,0.8249084,0.1321577,6387.951
2021-03-26,0.9601166,0.1480799,6272.9456
2021-03-27,0.8673254,0.1220703,6161.9376
2021-03-28,0.8930843,0.1273596,6070.9463
2021-03-29,0.8399097,0.1321312,6030.9464
2021-03-30,0.877803,0.1346624,5982.9334
2021-03-31,0.9486582,0.1532063,5945.9291
2021-04-01,0.8915517,0.149496,5883.9321
2021-04-02,0.7820966,0.138702,5894.9347
2021-04-03,0.7798386,0.1387387,5880.9415
2021-04-04,0.9252419,0.203425,5779.9448
2021-04-05,0.928776,0.2008879,5802.9404
2021-04-06,1.0425604,0.239302,5843.9489
2021-04-07,0.9752836,0.2290539,5784.9544
2021-04-08,1.0240423,0.2324474,5779.9503
2021-04-09,1.0137904,0.2317159,5855.9527
2021-04-10,1.0551011,0.2328031,5912.9571
2021-04-11,0.8883927,0.177493,5972.9526
2021-04-12,0.877108,0.1742048,5968.953
2021-04-13,0.7513955,0.1145215,5985.9482
2021-04-14,0.826615,0.1252091,6007.9298
