date,temp_c,dewpoint_c,abs_humidity_g_m3
2022-11-20,1.8,0.1,4.852200881578323
2022-11-21,5.8,4.7,6.634879877478885
2022-11-22,6.8,4.9,6.70410313086695
2022-11-23,7.6,6.1,7.265537717611994
2022-11-24,8.9,6.5,7.434293859528206
2022-11-25,9.2,7.3,7.8454889150136635
2022-11-26,7.3,6.1,7.273309731572713
2022-11-27,7.2,5.4,6.93158093590015
2022-11-28,8.6,7.8,8.135196187319586
2022-11-29,6.2,6.0,7.251674039557973
2022-11-30,5.3,5.1,6.834801575529576
2022-12-01,3.8,2.8,5.84629399414975
2022-12-02,2.5,0.7,5.054541373324025
2022-12-03,1.7,-1.5,4.3189731304308445
2022-12-04,0.6,-1.8,4.2416816048553905
2022-12-05,4.3,3.1,5.961106852884854
2022-12-06,5.0,3.9,6.291228316783455
2022-12-07,4.5,2.6,5.749350224650308
2022-12-08,3.1,1.5,5.342241818347837
2022-12-09,-1.0,-1.5,4.361821660477375
2022-12-10,-0.0,-0.4,4.709927007715852
2022-12-11,-0.1,-1.2,4.444208030572465
2022-12-12,-1.7,-3.1,3.885036049589777
2022-12-13,-3.3,-5.2,3.3378287180435913
2022-12-14,-3.2,-7.6,2.776680326947248
2022-12-15,-2.2,-3.0,3.921278928955495
2022-12-16,-0.6,-2.6,4.0157978251904085
2022-12-17,-2.4,-3.7,3.7244991066469275
2022-12-18,-2.3,-5.1,3.3507870145678464
2022-12-19,6.4,4.8,6.667023997717234
2022-12-20,9.7,8.3,8.383802713933559
2022-12-21,7.6,6.6,7.520291091556986
2022-12-22,8.4,7.6,8.030708241594684
2022-12-23,9.3,8.6,8.568143024862906
2022-12-24,8.8,7.4,7.910524192134029
2022-12-25,8.3,7.8,8.143867563607367
2022-12-26,7.3,4.2,6.372455912524249
2022-12-27,6.0,3.4,6.051752937194251
2022-12-28,8.7,6.7,7.542626050268199
2022-12-29,9.0,6.5,7.431658986638066
2022-12-30,8.1,6.3,7.353412706675477
2022-12-31,13.8,10.7,9.710817435351379
2023-01-01,12.7,8.4,8.352280251901558
2023-01-02,9.0,7.8,8.12366303660214
2023-01-03,6.0,4.7,6.630126246902149
2023-01-04,11.0,9.1,8.80952382071627
2023-01-05,10.0,8.1,8.26193166094052
2023-01-06,10.0,8.0,8.205943938934075
2023-01-07,10.0,7.0,7.664226721855254
2023-01-08,8.4,5.8,7.096154196931814
2023-01-09,6.7,4.6,6.567492568886359
2023-01-10,6.6,4.6,6.569840198044138
2023-01-11,9.8,7.1,7.722392715265443
2023-01-12,10.2,8.6,8.540928171422369
2023-01-13,8.4,4.4,6.437140185988536
2023-01-14,8.6,6.4,7.391131390155776
2023-01-15,6.5,1.7,5.353429029814734
2023-01-16,4.2,2.9,5.879398346694252
2023-01-17,1.4,-1.4,4.355562002849651
2023-01-18,1.3,-1.5,4.325267862630416
2023-01-19,2.9,-0.1,4.76323136819515
2023-01-20,1.6,0.4,4.962379963044989
2023-01-21,-0.1,-1.8,4.252555719938338
2023-01-22,0.9,-1.5,4.331580970256952
2023-01-23,2.5,0.5,4.982067830014582
2023-01-24,1.1,-0.6,4.623168394194298
2023-01-25,0.4,-1.5,4.339498318036622
2023-01-26,4.4,2.7,5.792409431603683
2023-01-27,3.8,1.5,5.328739130957176
2023-01-28,2.4,-0.3,4.70300650008841
2023-01-29,3.8,1.3,5.252828850956924
2023-01-30,7.0,3.6,6.115808789180927
2023-01-31,6.3,3.7,6.174468031330487
2023-02-01,7.1,3.1,5.9015489610451475
2023-02-02,8.1,5.8,7.103723428075207
2023-02-03,9.2,7.0,7.685942257104003
2023-02-04,7.4,6.1,7.2707172134007045
2023-02-05,6.5,3.8,6.213631552031524
2023-02-06,3.3,1.6,5.376764637753693
2023-02-07,0.3,-0.9,4.5362324970130725
2023-02-08,-0.0,-3.2,3.832207461629951
2023-02-09,2.2,-1.1,4.439489095018452
2023-02-10,3.9,2.0,5.520790658438073
2023-02-11,7.3,5.8,7.123987213928158
2023-02-12,7.0,4.7,6.606459902990308
2023-02-13,6.3,4.3,6.440246725013368
2023-02-14,4.7,3.0,5.910540430390191
2023-02-15,4.3,2.1,5.55231166460774
2023-02-16,7.3,5.4,6.929109343482285
2023-02-17,9.9,8.5,8.492269717376896
2023-02-18,9.8,8.2,8.324136099132373
2023-02-19,8.1,6.1,7.252621206114017
2023-02-20,7.3,5.7,7.074818902247703
2023-02-21,8.2,6.5,7.452790414359091
2023-02-22,6.2,4.8,6.671797238453025
2023-02-23,7.1,5.4,6.934054292166304
2023-02-24,4.3,1.5,5.319136068908236
2023-02-25,4.7,-0.8,4.497140786595675
2023-02-26,2.0,-4.0,3.5834883819604904
2023-02-27,2.5,-2.4,4.029902553442954
2023-02-28,1.9,-1.7,4.252828503711416
2023-03-01,1.2,-2.8,3.930681494543131
2023-03-02,2.7,-0.1,4.7666848620274465
2023-03-03,3.4,0.8,5.07455890974592
2023-03-04,5.9,2.3,5.599731915847703
2023-03-05,4.0,1.2,5.211470851577385
2023-03-06,3.8,1.3,5.252828850956924
2023-03-07,3.2,1.5,5.340308674936096
2023-03-08,0.6,-0.9,4.531261283317716
2023-03-09,1.8,0.9,5.141003302994927
2023-03-10,3.1,1.7,5.419317387104761
2023-03-11,2.7,-3.6,3.6830832356001366
2023-03-12,6.6,3.7,6.167846617892062
2023-03-13,12.3,7.9,8.084620942045225
2023-03-14,7.3,2.3,5.571778181912289
2023-03-15,4.7,-0.1,4.732373651935473
2023-03-16,8.2,2.1,5.475346974748241
2023-03-17,11.3,5.8,7.023808100355605
2023-03-18,11.1,8.6,8.513885654784618
2023-03-19,9.5,7.9,8.164709173560269
2023-03-20,7.5,5.8,7.11891043700749
2023-03-21,10.3,7.7,8.031476356241312
2023-03-22,10.1,7.5,7.928200670363438
2023-03-23,12.0,8.5,8.429728015092163
2023-03-24,11.0,7.3,7.795790234573668
2023-03-25,9.3,5.5,6.927975406990486
2023-03-26,7.3,4.2,6.372455912524249
2023-03-27,4.8,-0.6,4.5616259475005805
2023-03-28,4.1,-0.0,4.777170063119928
2023-03-29,10.1,7.0,7.661520904830768
2023-03-30,12.5,8.3,8.301622956891675
2023-03-31,10.5,8.3,8.360157227696481
2023-04-01,9.2,8.2,8.34182507260317
2023-04-02,6.3,1.8,5.395720899954306
2023-04-03,4.8,-1.7,4.208456484784403
2023-04-04,4.3,-1.0,4.4382548361346865
2023-04-05,4.9,0.1,4.798103335335227
2023-04-06,6.6,3.5,6.081529510688763
2023-04-07,8.1,6.1,7.252621206114017
2023-04-08,9.4,6.1,7.219252218083764
2023-04-09,10.4,6.8,7.549093036397283
2023-04-10,10.6,6.1,7.1887214598046425
2023-04-11,9.7,3.6,6.057429140141547
2023-04-12,9.1,4.6,6.511648522242152
2023-04-13,8.4,3.6,6.085398090175943
2023-04-14,8.6,4.0,6.254639854621261
2023-04-15,9.1,4.7,6.557306436927315
2023-04-16,8.5,6.2,7.292491710585376
2023-04-17,10.2,6.8,7.554421494513674
2023-04-18,8.6,4.4,6.432570787453671
2023-04-19,10.3,3.3,5.918011238562297
2023-04-20,7.9,1.1,5.102342778997138
2023-04-21,10.4,6.2,7.243626486638587
2023-04-22,8.6,7.0,7.702309836001118
2023-04-23,10.7,8.2,8.297742854498873
2023-04-24,8.6,5.9,7.140358920419803
2023-04-25,6.5,1.6,5.315238991979291
2023-04-26,5.9,0.4,4.885912542005414
2023-04-27,7.4,1.5,5.260361084721405
2023-04-28,10.4,7.8,8.083553256135756
2023-04-29,10.3,6.4,7.346802854741188
2023-04-30,10.9,7.0,7.639942954737952
2023-05-01,11.9,8.2,8.262811118223137
2023-05-02,9.3,4.5,6.461693380418081
